報道発表品目名,１．食料品,２．原料品,３．鉱物性燃料,４．化学製品,５．原料別製品,６．一般機械,７．電気機器,８．輸送用機器,９．その他
2007/04,30347427,96928799,57589214,626759055,783393130,1368730920,1353529858,1581257407,734968517
2007/05,33235032,93070892,76542867,635138684,840891724,1330448332,1294710467,1516637309,747173036
2007/06,35390695,93327717,59956080,666384877,876874423,1493491565,1406874227,1858935816,794803274
2007/07,31807578,88754879,99194622,656740364,858906864,1417734538,1400585683,1715898323,793483444
2007/08,35785845,85330225,135854190,663225649,851355484,1373098557,1444184824,1629110228,816729467
2007/09,33067934,79698657,112600834,637649112,816209554,1408496206,1543334524,1777443535,846975452
2007/10,38630237,97703511,95579132,691779571,858911978,1400285786,1540414735,1918357508,864830090
2007/11,38988784,86475885,109325348,650174884,809718658,1367699577,1481211999,1890684550,834304341
2007/12,43221950,87589566,102915896,681504915,878408714,1479965930,1443712051,1891858469,824790287
2008/01,34016259,77958442,110561847,600928914,721770935,1202717136,1168637320,1762893172,728838684
2008/02,30933978,93847085,107800002,644100397,847440573,1413661392,1271659638,1799230131,765001483
2008/03,30772583,107308931,124525693,665446660,928379620,1558640818,1387280334,2015005670,864331325
2008/04,31238366,104892835,115326908,640907150,816034951,1387707531,1320171709,1725087021,748087734
2008/05,32382558,102755425,183311856,645642544,864920508,1339993332,1324576020,1573564001,739623940
2008/06,32683101,106644112,191580728,660255800,873927497,1388312925,1342223720,1785572234,770936773
2008/07,38767841,112970375,215199442,714248669,954083056,1469971053,1431493572,1849962500,837802425
2008/08,35629441,90068299,274583695,690492078,916625326,1332303557,1373704883,1529499162,808532723
2008/09,34308534,97193387,176495063,621537797,961295726,1391819285,1456134564,1817110026,805407603
2008/10,36798879,70184926,157253856,590098582,901466325,1350509643,1377545583,1661755518,769197279
2008/11,31476566,43148257,117616711,427164254,709822648,1048412105,1040540599,1355710102,549612087
2008/12,34315179,46660857,94926236,368007772,680952140,1043659882,874163326,1192644395,495153517
2009/01,22532066,41720161,61125109,317934240,499016676,711398951,615349811,815666046,393082096
2009/02,24507947,55476912,57317653,342529851,473474931,736887213,637028525,750763186,451589241
2009/03,28347578,69565571,62782385,455370062,578098599,824557325,778292169,839091134,547689467
2009/04,30364326,76401500,60739897,480919153,533883252,768804946,872179528,805741031,565674271
2009/05,28188180,77860132,56833963,476672501,507580641,718231251,845590778,775804286,533189872
